Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-01 00:00:00,128.54,128.54,128.12,128.34,1910.23945475,NO_PATTERN,NO_PATTERN
2020-01-01 01:00:00,128.33,130.14,128.32,130.14,4916.26114071,NO_PATTERN,NO_PATTERN
2020-01-01 02:00:00,130.23,130.5,129.91,130.37,3044.7458358,NO_PATTERN,NO_PATTERN
2020-01-01 03:00:00,130.38,130.44,129.38,129.57,3829.0791406499998,ENGULFING,Bearish
2020-01-01 04:00:00,129.58,130.0,129.5,129.56,5416.86864899,NO_PATTERN,NO_PATTERN
2020-01-01 05:00:00,129.55,129.94,129.47,129.83,1789.72782679,ENGULFING,Bullish
2020-01-01 06:00:00,129.83,130.25,129.82,130.0,909.7182867199999,NO_PATTERN,NO_PATTERN
2020-01-01 07:00:00,130.0,130.25,129.8,129.87,866.22584185,NO_PATTERN,NO_PATTERN
2020-01-01 08:00:00,129.87,130.01,129.61,130.01,1034.71834475,NO_PATTERN,NO_PATTERN
2020-01-01 09:00:00,130.02,130.22,129.96,129.98,830.42917385,NO_PATTERN,NO_PATTERN
2020-01-01 10:00:00,129.98,130.33,129.88,130.33,564.36166566,NO_PATTERN,NO_PATTERN
2020-01-01 11:00:00,130.33,131.42,130.23,130.36,1857.75926611,DOJI,Neutral
2020-01-01 12:00:00,130.38,131.31,130.36,131.28,1688.6394726,NO_PATTERN,NO_PATTERN
2020-01-01 13:00:00,131.28,132.08,131.04,131.41,4327.96619463,NO_PATTERN,NO_PATTERN
2020-01-01 14:00:00,131.36,132.05,130.93,131.66,1087.60675341,NO_PATTERN,NO_PATTERN
2020-01-01 15:00:00,131.71,132.15,131.29,131.75,1277.48157701,DOJI,Neutral
2020-01-01 16:00:00,131.73,132.56,131.51,132.55,2050.91384464,NO_PATTERN,NO_PATTERN
2020-01-01 17:00:00,132.56,132.68,131.94,131.97,1846.20527873,NO_PATTERN,NO_PATTERN
2020-01-01 18:00:00,131.97,132.14,131.24,131.64,2025.0784672500001,NO_PATTERN,NO_PATTERN
2020-01-01 19:00:00,131.55,131.72,131.15,131.34,1278.7266515000001,NO_PATTERN,NO_PATTERN
2020-01-01 20:00:00,131.45,131.87,131.23,131.73,1233.7626507500001,NO_PATTERN,NO_PATTERN
2020-01-01 21:00:00,131.81,131.99,130.97,131.41,8899.99013475,ENGULFING,Bearish
2020-01-01 22:00:00,131.41,131.41,129.36,129.77,3165.85896442,NO_PATTERN,NO_PATTERN
2020-01-01 23:00:00,129.78,130.27,129.24,130.19,1660.1303899700001,HARAMI,Bullish
2020-01-02 00:00:00,130.14,130.18,129.67,130.0,2310.92264453,NO_PATTERN,NO_PATTERN
2020-01-02 01:00:00,130.0,130.0,129.69,129.76,819.75671348,NO_PATTERN,NO_PATTERN
2020-01-02 02:00:00,129.76,129.76,128.28,129.21,2467.13864111,NO_PATTERN,NO_PATTERN
2020-01-02 03:00:00,129.19,129.19,128.36,128.56,1231.62472474,NO_PATTERN,NO_PATTERN
2020-01-02 04:00:00,128.51,129.25,128.21,129.12,1201.78263409,NO_PATTERN,NO_PATTERN
