Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-31 00:00:00,128.54,186.89,125.52,179.74,2664912.50149341,NO_PATTERN,NO_PATTERN
2020-02-29 00:00:00,179.72,290.0,178.98,217.31,5186981.46747551,NO_PATTERN,NO_PATTERN
2020-03-31 00:00:00,217.36,253.01,90.0,133.08,10593072.58288924,ENGULFING,Bearish
2020-04-30 00:00:00,133.08,227.5,128.6,206.23,6314990.87242716,NO_PATTERN,NO_PATTERN
2020-05-31 00:00:00,206.22,247.36,176.43,231.54,4743122.277308,NO_PATTERN,NO_PATTERN
2020-06-30 00:00:00,231.43,253.6,215.16,225.48,3480621.00570977,NO_PATTERN,NO_PATTERN
2020-07-31 00:00:00,225.5,349.74,222.78,346.83,4094164.041112,NO_PATTERN,NO_PATTERN
2020-08-31 00:00:00,346.86,447.5,325.75,433.89,6225554.23674239,NO_PATTERN,NO_PATTERN
2020-09-30 00:00:00,433.88,488.95,310.0,359.89,5755571.89742205,NO_PATTERN,NO_PATTERN
2020-10-31 00:00:00,360.01,421.47,332.87,408.63,2343530.13163414,NO_PATTERN,NO_PATTERN
