Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-01 00:00:00,1.7631400000000002,1.7646,1.75501,1.7602799999999998,10309.91,NO_PATTERN,NO_PATTERN
2020-01-01 01:00:00,1.75918,1.78018,1.75752,1.77679,45800.32,NO_PATTERN,NO_PATTERN
2020-01-01 02:00:00,1.7787,1.7990099999999998,1.7768,1.79652,29016.199999999997,NO_PATTERN,NO_PATTERN
2020-01-01 03:00:00,1.79667,1.7968099999999998,1.7866400000000002,1.7904099999999998,16001.390000000001,NO_PATTERN,NO_PATTERN
2020-01-01 04:00:00,1.7869099999999998,1.79411,1.78164,1.78712,29619.57,NO_PATTERN,NO_PATTERN
2020-01-01 05:00:00,1.78985,1.8,1.78985,1.79998,29102.3,NO_PATTERN,NO_PATTERN
2020-01-01 06:00:00,1.79994,1.79994,1.78276,1.78486,8025.11,NO_PATTERN,NO_PATTERN
2020-01-01 07:00:00,1.7852400000000002,1.78693,1.77414,1.7798,34444.42,NO_PATTERN,NO_PATTERN
2020-01-01 08:00:00,1.77767,1.78286,1.77693,1.78286,8476.81,NO_PATTERN,NO_PATTERN
2020-01-01 09:00:00,1.78286,1.80993,1.77741,1.80331,11745.3,NO_PATTERN,NO_PATTERN
2020-01-01 10:00:00,1.80025,1.8047,1.7879900000000002,1.7915599999999998,9442.33,NO_PATTERN,NO_PATTERN
2020-01-01 11:00:00,1.79143,1.81133,1.78634,1.80764,10906.15,CDLENGULFING,Bullish
2020-01-01 12:00:00,1.80976,1.82075,1.80886,1.81676,9591.89,NO_PATTERN,NO_PATTERN
2020-01-01 13:00:00,1.81855,1.81893,1.80892,1.81494,3914.34,NO_PATTERN,NO_PATTERN
2020-01-01 14:00:00,1.81426,1.83259,1.80773,1.83259,15160.9,CDLENGULFING,Bullish
2020-01-01 15:00:00,1.83255,1.84823,1.83255,1.83483,53628.3,NO_PATTERN,NO_PATTERN
